historical_ticker,proposed_successor_ticker,predecessor_name,successor_name,effective_date,event_type,old_cik,new_cik,figi,sources,confidence,price_continuity_valid,manual_review_required
TEN,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
THY,,,,,uncertain,,,,none,uncertain,uncertain,True
TMC,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
TMC-A,,,,,share-class change,,,,none,uncertain,True,True
TOS,,,,,uncertain,,,,none,uncertain,uncertain,True
TX,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
UAWGQ,,,,,bankruptcy,,,,none,uncertain,False,True
UCC,,,,,uncertain,,,,none,uncertain,uncertain,True
UCL,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
UCM,,,,,uncertain,,,,none,uncertain,uncertain,True
UIS,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
UK,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
UMG,,,,,uncertain,,,,none,uncertain,uncertain,True
UN,,,,,uncertain,,,,none,uncertain,uncertain,True
UPC,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
UPR,,,,,uncertain,,,,none,uncertain,uncertain,True
USBC,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
USH,,,,,uncertain,,,,none,uncertain,uncertain,True
USHC,,,,,uncertain,,,,none,uncertain,uncertain,True
UST,,,,,uncertain,,,,none,uncertain,uncertain,True
USW,,,,,uncertain,,,,none,uncertain,uncertain,True
VAT,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
VO,,,,,uncertain,,,,none,uncertain,uncertain,True
VSTNQ,,VESTIN GROUP INC NEW,,2005-02-07,bankruptcy,,,,polygon_reference:VSTN,medium,False,True
WAI,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
WAMUQ,,,,,bankruptcy,,,,none,uncertain,False,True
WB,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
WCOEQ,,,,,bankruptcy,,,,none,uncertain,False,True
WLA,,,,,uncertain,,,,none,uncertain,uncertain,True
WMX,,,,,uncertain,,,,none,uncertain,uncertain,True
WNDXQ,,,,,bankruptcy,,,,none,uncertain,False,True
YNR,,,,,uncertain,,,,none,uncertain,uncertain,True
