variant,family,total_net,sharpe,max_dd,bench,excess,d_excess
baseline,baseline,0.42512765354911797,1.58800085556133,-0.18862906393711365,0.2895605655347211,0.13556708801439687,0.0
cost_x0.5,costs,0.42642510353062923,1.5918406185131224,-0.18832309196817898,0.2895605655347211,0.13686453799590814,0.0012974499815112672
cost_x2.0,costs,0.4225361321158576,1.5803197368029123,-0.18924067336449457,0.2895605655347211,0.13297556658113652,-0.0025915214332603576
cost_x4.0,costs,0.41736657713127,1.5649513237033952,-0.19046255527647427,0.2895605655347211,0.12780601159654892,-0.007761076417847956
cost_+10bps,costs,0.4122149561238573,1.549575049577217,-0.19168265668979,0.2895605655347211,0.12265439058913619,-0.012912697425260689
param_sigma-20,params,0.34125516714201853,1.543911865096661,-0.1526350488160989,0.2895605655347211,0.05169460160729744,-0.08387248640709943
param_sigma+20,params,0.4909976917130576,1.591318593669865,-0.22228267093390242,0.2895605655347211,0.20143712617833653,0.06587003816393966
param_lb-20,params,0.3783905194510431,1.4405920101325782,-0.18072004526025465,0.2895605655347211,0.08882995391632198,-0.046737134098074895
param_lb+20,params,0.39465249990525963,1.4935945084972844,-0.191547602219025,0.2895605655347211,0.10509193437053854,-0.030475153643858333
param_band-20,params,0.42854807369445913,1.5938653767301958,-0.18925255150413367,0.2895605655347211,0.13898750815973804,0.003420420145341163
param_band+20,params,0.4252151643374291,1.5864566716962818,-0.18920210099292567,0.2895605655347211,0.13565459880270803,8.751078831115144e-05
delay_1d,signal_delay,0.4328337057719722,1.6064430531408498,-0.19060905802409334,0.2895605655347211,0.14327314023725113,0.007706052222854254
delay_2d,signal_delay,0.42066890849672056,1.5678569307448598,-0.18383089895652116,0.2895605655347211,0.13110834296199947,-0.004458745052397406
delay_5d,signal_delay,0.48562367504200377,1.7388859071593668,-0.18952800246340196,0.2895605655347211,0.19606310950728267,0.0604960214928858
exec_open,exec_timestamp,0.4447185700583003,1.6434526406921934,-0.18783806258282199,0.2895605655347211,0.1551580045235792,0.01959091650918232
miss_5pct_s0,missed_trades,0.42512765354911797,1.58800085556133,-0.18862906393711365,0.2895605655347211,0.13556708801439687,0.0
miss_5pct_s1,missed_trades,0.4190320201490454,1.5701573976778826,-0.19061077027852336,0.2895605655347211,0.1294714546143243,-0.006095633400072575
miss_5pct_s2,missed_trades,0.4256747424311689,1.5895386631060082,-0.18862906393711365,0.2895605655347211,0.13611417689644778,0.0005470888820509057
miss_5pct_s4,missed_trades,0.43349320942875735,1.6066286437253063,-0.1892193507823754,0.2895605655347211,0.14393264389403626,0.008365555879639386
miss_5pct_s7,missed_trades,0.4411304994429852,1.6361240356903144,-0.18862906393711454,0.2895605655347211,0.15156993390826412,0.016002845893867246
miss_10pct_s0,missed_trades,0.4289533538398438,1.598005604286219,-0.18862906393711343,0.2895605655347211,0.1393927883051227,0.0038257002907258197
miss_10pct_s1,missed_trades,0.41821973410273094,1.5675882032121184,-0.19061077027852347,0.2895605655347211,0.12865916856800985,-0.006907919446387023
miss_10pct_s2,missed_trades,0.42737261175592,1.591712216257863,-0.18814063343593723,0.2895605655347211,0.13781204622119891,0.002244958206802039
miss_10pct_s4,missed_trades,0.410476399828976,1.5502464425959275,-0.1892193507823754,0.2895605655347211,0.1209158342942549,-0.014651253720141977
miss_10pct_s7,missed_trades,0.4411304994429852,1.6361240356903144,-0.18862906393711454,0.2895605655347211,0.15156993390826412,0.016002845893867246
