variant,family,total_net,sharpe,max_dd,bench,excess,d_excess
baseline,baseline,0.5855865015733954,1.7836368250818837,-0.16768576233403787,0.21166008289160754,0.3739264186817879,0.0
cost_x0.5,costs,0.586994721516138,1.7865862962064663,-0.1676857623340381,0.21166008289160754,0.3753346386245304,0.001408219942742539
cost_x2.0,costs,0.5827725604983685,1.7777173210183979,-0.16768576233403854,0.21166008289160754,0.3711124776067609,-0.002813941075026971
cost_x4.0,costs,0.577154666691803,1.7657967613201566,-0.16768576233403798,0.21166008289160754,0.3654945838001955,-0.008431834881592382
cost_+10bps,costs,0.5715500775367857,1.753768824486638,-0.1676857623340382,0.21166008289160754,0.3598899946451781,-0.014036424036609763
param_lb-20,params,0.17753928327941804,0.7427024890496597,-0.21643860441638918,0.21166008289160754,-0.0341207996121895,-0.4080472182939774
param_lb+20,params,0.13597074298233802,0.5903101992794356,-0.1676857623340382,0.21166008289160754,-0.07568933990926952,-0.4496157585910574
param_skip5,params,0.5855865015733954,1.7836368250818837,-0.16768576233403787,0.21166008289160754,0.3739264186817879,0.0
param_skip21,params,0.5074568748521258,1.5861937195680638,-0.1676857623340383,0.21166008289160754,0.2957967919605182,-0.07812962672126966
param_elev-20,params,0.45519860123281375,1.783636825081883,-0.13590323379240143,0.21166008289160754,0.2435385183412062,-0.13038790034058167
param_elev+20,params,0.7221375472566218,1.7836368250818837,-0.1986136981176121,0.21166008289160754,0.5104774643650143,0.1365510456832264
delay_1d,signal_delay,0.6382070238407098,1.9084759574172945,-0.1676857623340381,0.21166008289160754,0.4265469409491023,0.052620522267314396
delay_2d,signal_delay,0.6186923494376741,1.8668578769593864,-0.1676857623340382,0.21166008289160754,0.4070322665460666,0.033105847864278726
delay_5d,signal_delay,0.6434700811093517,1.910273315083409,-0.16768576233403787,0.21166008289160754,0.43180999821774413,0.05788357953595624
rshift_1d,rebal_shift,0.6382070238407098,1.9084759574172945,-0.1676857623340381,0.21166008289160754,0.4265469409491023,0.052620522267314396
