variant,family,total_net,sharpe,max_dd,bench,excess,d_excess
baseline,baseline,2.0108160671368167,1.1110984251866145,-0.1957497078046333,1.0346515655282174,0.9761645016085994,0.0
cost_x0.5,costs,2.0250696399857575,1.1155330515238575,-0.19532416977302292,1.0346515655282174,0.9904180744575402,0.014253572848940799
cost_x2.0,costs,1.9825067796246532,1.1022291173491334,-0.19660025502583323,1.0346515655282174,0.9478552140964358,-0.02830928751216355
cost_x4.0,costs,1.9266712505924302,1.0844908100135313,-0.19829923582267717,1.0346515655282174,0.8920196850642128,-0.08414481654438655
cost_+10bps,costs,1.8718640043686299,1.0667539184231805,-0.2002911515611583,1.0346515655282174,0.8372124388404125,-0.13895206276818683
param_sma-20,params,2.0376621944305082,1.130894202562333,-0.19224323879596739,1.0346515655282174,1.0030106289022909,0.026846127293691513
param_sma+20,params,1.3224742623914438,0.8714446301086641,-0.2985426610695311,1.0346515655282174,0.2878226968632265,-0.6883418047453729
param_sigma-20,params,1.5353413220321737,1.1111446981623445,-0.1621918289913693,1.0346515655282174,0.5006897565039563,-0.47547474510464305
param_sigma+20,params,2.4840687434517945,1.1223942561995852,-0.2190018767363312,1.0346515655282174,1.4494171779235772,0.4732526763149778
param_rvlb-20,params,1.9004987632901114,1.0735094788124484,-0.2011526790839928,1.0346515655282174,0.865847197761894,-0.11031730384670535
param_rvlb+20,params,1.9812525976801072,1.1060397531110824,-0.19180085369672706,1.0346515655282174,0.9466010321518898,-0.029563469456709512
delay_1d,signal_delay,2.08438381719682,1.1362474306022414,-0.1927986107161912,1.0346515655282174,1.0497322516686025,0.07356775006000316
delay_2d,signal_delay,1.914541011153264,1.0813252364308454,-0.19411716468643325,1.0346515655282174,0.8798894456250466,-0.09627505598355279
delay_5d,signal_delay,1.6740822374086979,0.9901365077894474,-0.20826127620101842,1.0346515655282174,0.6394306718804805,-0.3367338297281188
exec_open,exec_timestamp,2.1231164449903654,1.1445575343488463,-0.19149831969503295,1.0346515655282174,1.088464879462148,0.11230037785354874
miss_5pct_s0,missed_trades,2.0223068318957846,1.114587579977475,-0.19675817048989308,1.0346515655282174,0.9876552663675673,0.01149076475896793
miss_5pct_s1,missed_trades,2.0051058017720202,1.1096331622209794,-0.19654068214466924,1.0346515655282174,0.9704542362438029,-0.005710265364796463
miss_5pct_s2,missed_trades,2.0167586318934756,1.1121801751283453,-0.1953999017845034,1.0346515655282174,0.9821070663652582,0.005942564756658886
miss_5pct_s4,missed_trades,2.0397991146302057,1.1188395772863229,-0.20641546165664326,1.0346515655282174,1.0051475491019883,0.02898304749338898
miss_5pct_s7,missed_trades,2.030510975973971,1.1160902473058216,-0.1958585910030598,1.0346515655282174,0.9958594104457537,0.0196949088371543
miss_10pct_s0,missed_trades,2.031126469710362,1.1167859935266602,-0.19448827836109672,1.0346515655282174,0.9964749041821448,0.02031040257354544
miss_10pct_s1,missed_trades,2.021556676553687,1.1150377924094466,-0.19506565232447404,1.0346515655282174,0.9869051110254699,0.010740609416870495
miss_10pct_s2,missed_trades,2.0092119049984913,1.1092955790104484,-0.19539990178450406,1.0346515655282174,0.974560339470274,-0.0016041621383253712
miss_10pct_s4,missed_trades,2.0142307807662716,1.1124858917513656,-0.20699431016292547,1.0346515655282174,0.9795792152380542,0.0034147136294548908
miss_10pct_s7,missed_trades,2.07373351502233,1.1291988997478741,-0.19607818420986423,1.0346515655282174,1.0390819494941126,0.06291744788551323
lag_10pct_s0,random_lag,2.0302928258913044,1.116507549140804,-0.1944882783610964,1.0346515655282174,0.9956412603630871,0.019476758754487733
lag_10pct_s1,random_lag,2.019565277281569,1.1144070728654056,-0.19506565232447393,1.0346515655282174,0.9849137117533515,0.008749210144752162
lag_10pct_s2,random_lag,2.003798245722391,1.1079539453963567,-0.19539990178450406,1.0346515655282174,0.9691466801941737,-0.00701782141442564
lag_10pct_s4,random_lag,2.020305526345529,1.113995536328214,-0.20699431016292613,1.0346515655282174,0.9856539608173116,0.009489459208712248
lag_10pct_s7,random_lag,2.0876888184158395,1.1335336332572068,-0.19607818420986278,1.0346515655282174,1.0530372528876222,0.07687275127902282
missobs_0.5pct_s0,missing_obs,0.7916702910315665,0.9071681482222248,-0.25673857670867206,1.0346515655282174,-0.24298127449665086,-1.2191457761052502
missobs_0.5pct_s1,missing_obs,0.47201116070489335,0.6828267502160348,-0.19574970780463363,1.0346515655282174,-0.562640404823324,-1.5388049064319234
missobs_0.5pct_s2,missing_obs,0.7038123286589755,0.8109108868968344,-0.1702313472711363,1.0346515655282174,-0.3308392368692419,-1.3070037384778412
missobs_2pct_s0,missing_obs,0.026733396186519487,0.20479076063341978,-0.04352143453016921,1.0346515655282174,-1.0079181693416979,-1.9840826709502972
missobs_2pct_s1,missing_obs,0.007410255108031283,1.9197259368689898,-0.0002766573821777474,1.0346515655282174,-1.027241310420186,-2.0034058120287854
missobs_2pct_s2,missing_obs,0.0,0.0,0.0,1.0346515655282174,-1.0346515655282174,-2.0108160671368167
start_+63d,alt_start,2.0094270695933427,1.1714970625061993,-0.19574970780463397,1.0214237642370123,0.9880033053563304,0.011838803747731053
start_+126d,alt_start,1.726929297732803,1.1436723586046018,-0.1957497078046342,0.908182869704315,0.818746428028488,-0.1574180735801114
start_+252d,alt_start,1.9991396624608737,1.3269904364295726,-0.19574970780463363,1.5272324728908395,0.4719071895700342,-0.5042573120385652
