variant,family,total_net,sharpe,max_dd,bench,excess,d_excess
baseline,baseline,2.585141157617217,1.065754652296692,-0.3565783985636679,0.8424533257085567,1.7426878319086605,0.0
cost_x0.5,costs,2.6013739307291064,1.069075068662195,-0.35481889913513753,0.8424533257085567,1.7589206050205497,0.016232773111889198
cost_x2.0,costs,2.552881069045117,1.0591044156491247,-0.3600844630684533,0.8424533257085567,1.7104277433365602,-0.032260088572100276
cost_x4.0,costs,2.4891751882368993,1.045767282012861,-0.3670451171295066,0.8424533257085567,1.6467218625283426,-0.09596596938031787
cost_+10bps,costs,2.426540828789315,1.032383098754731,-0.3739376352375068,0.8424533257085567,1.5840875030807584,-0.1586003288279021
param_lb-20,params,0.7967359474503775,0.553183614411732,-0.41635667950209776,0.8424533257085567,-0.04571737825817923,-1.7884052101668397
param_lb+20,params,1.1104066993904702,0.6464148410057565,-0.41469891015961646,0.8424533257085567,0.2679533736819135,-1.474734458226747
param_rlev-20,params,1.8778272865425532,1.0698210140803692,-0.2893744154482314,0.8424533257085567,1.0353739608339965,-0.707313871074664
param_rlev+20,params,3.3963826654530074,1.0630428908668477,-0.4198490918734651,0.8424533257085567,2.5539293397444505,0.81124150783579
param_dlev-20,params,2.5691386251953823,1.0625004572332781,-0.3594503566220054,0.8424533257085567,1.7266852994868256,-0.016002532421834914
param_dlev+20,params,2.601214048796214,1.0690078653658321,-0.353693813291444,0.8424533257085567,1.7587607230876572,0.016072891178996684
delay_1d,signal_delay,2.544586110373693,1.0579432926184629,-0.3151661201458894,0.8424533257085567,1.7021327846651364,-0.0405550472435241
delay_2d,signal_delay,2.4746171350466293,1.0422163824651198,-0.3186287586267246,0.8424533257085567,1.6321638093380726,-0.11052402257058791
delay_5d,signal_delay,2.1529904273555536,0.9647952566554893,-0.32068204264711697,0.8424533257085567,1.3105371016469969,-0.4321507302616636
rshift_1d,rebal_shift,2.1812722145588848,0.9741585016631295,-0.31570681742631945,0.8424533257085567,1.338818888850328,-0.40386894305833243
rshift_3d,rebal_shift,1.4232330301374927,0.7682475206277561,-0.34164864326407673,0.8424533257085567,0.580779704428936,-1.1619081274797245
exec_open,exec_timestamp,2.7470099051278063,1.0975386024913285,-0.31524530280091045,0.8424533257085567,1.9045565794192496,0.1618687475105891
miss_5pct_s0,missed_trades,2.585141157617217,1.065754652296692,-0.3565783985636679,0.8424533257085567,1.7426878319086605,0.0
miss_5pct_s1,missed_trades,2.5005844452181623,1.0487831656250821,-0.3565783985636679,0.8424533257085567,1.6581311195096056,-0.08455671239905493
miss_5pct_s2,missed_trades,2.585141157617217,1.065754652296692,-0.3565783985636679,0.8424533257085567,1.7426878319086605,0.0
miss_5pct_s4,missed_trades,2.615349548875037,1.0717952498913472,-0.35115692961017186,0.8424533257085567,1.7728962231664804,0.030208391257819933
miss_5pct_s7,missed_trades,2.7424311076238665,1.0977417982079212,-0.32834973278070356,0.8424533257085567,1.8999777819153099,0.15728995000664936
miss_10pct_s0,missed_trades,2.585141157617217,1.065754652296692,-0.3565783985636679,0.8424533257085567,1.7426878319086605,0.0
miss_10pct_s1,missed_trades,2.5005844452181623,1.0487831656250821,-0.3565783985636679,0.8424533257085567,1.6581311195096056,-0.08455671239905493
miss_10pct_s2,missed_trades,2.6193962583997177,1.072611035944143,-0.3504306708079531,0.8424533257085567,1.776942932691161,0.03425510078250049
miss_10pct_s4,missed_trades,2.5579218615130457,1.0603147066734444,-0.35115692961017186,0.8424533257085567,1.715468535804489,-0.02721929610417151
miss_10pct_s7,missed_trades,2.5059665176642167,1.0475082010970291,-0.32834973278070356,0.8424533257085567,1.66351319195566,-0.07917463995300045
lag_10pct_s0,random_lag,2.585141157617217,1.065754652296692,-0.3565783985636679,0.8424533257085567,1.7426878319086605,0.0
lag_10pct_s1,random_lag,2.5005844452181623,1.0487831656250821,-0.3565783985636679,0.8424533257085567,1.6581311195096056,-0.08455671239905493
lag_10pct_s2,random_lag,2.6193962583997177,1.072611035944143,-0.3504306708079531,0.8424533257085567,1.776942932691161,0.03425510078250049
lag_10pct_s4,random_lag,2.5579218615130457,1.0603147066734444,-0.35115692961017186,0.8424533257085567,1.715468535804489,-0.02721929610417151
lag_10pct_s7,random_lag,2.625007283647183,1.0730575479051703,-0.32834973278070356,0.8424533257085567,1.7825539579386265,0.039866126029965976
missobs_0.5pct_s0,missing_obs,2.1125075466180023,0.9669420280673732,-0.36248038751567435,0.8424533257085567,1.2700542209094456,-0.47263361099921486
missobs_0.5pct_s1,missing_obs,2.8617723232898475,1.128415370189911,-0.3229872670223356,0.8424533257085567,2.0193189975812906,0.27663116567263013
missobs_0.5pct_s2,missing_obs,2.328130319660336,1.0161051094114864,-0.3514547826180602,0.8424533257085567,1.485676993951779,-0.2570108379568814
missobs_2pct_s0,missing_obs,1.4496692057884508,0.8244709671686734,-0.34119190820806755,0.8424533257085567,0.6072158800798941,-1.1354719518287664
missobs_2pct_s1,missing_obs,1.0200344801513728,0.6857038174656532,-0.39477986301755785,0.8424533257085567,0.17758115444281608,-1.5651066774658444
missobs_2pct_s2,missing_obs,1.3949486849571913,0.8310262470700288,-0.4475585961340032,0.8424533257085567,0.5524953592486346,-1.190192472660026
start_+63d,alt_start,2.4581350819660384,1.0751344697957732,-0.35657839856366735,0.8234229513250002,1.6347121306410382,-0.10797570126762235
