date,n,p,p_over_n,psi1,psi2,psi3,psi_med,eigengap,vol_pca_unconstrained,vol_jse_unconstrained,delta_unconstrained,vol_pca_long_only,vol_jse_long_only,delta_long_only
2015-01-02,252,369,1.4642857142857142,0.9958524617380986,0.9725006899462914,0.9620551599917524,0.9725006899462914,0.8473910958759447,0.138526976895989,0.13851865572862734,-8.321167361657889e-06,0.15578105061942418,0.15564767083466113,-0.00013337978476304913
2015-02-02,252,370,1.4682539682539681,0.9961722626111883,0.9771219714461001,0.9635105104204956,0.9771219714461001,0.8310772702614204,0.11070658930321782,0.11281150147411409,0.00210491217089627,0.08707254837359986,0.08708344676371586,1.0898390116004242e-05
2015-03-02,252,370,1.4682539682539681,0.9959538530221529,0.9782489918954029,0.9684204868774648,0.9782489918954029,0.8123140307894257,0.10291783989549087,0.10221948930132821,-0.0006983505941626639,0.13571053733010216,0.13571151887683564,9.815467334750583e-07
2015-04-01,252,374,1.4841269841269842,0.996113502090681,0.9784818472516412,0.9705057256356073,0.9784818472516412,0.8177755639962401,0.08341610561627028,0.08423110387016856,0.0008149982538982886,0.08264325042089736,0.08265387850372892,1.0628082831559693e-05
2015-05-01,252,376,1.492063492063492,0.9958213778229069,0.9803341019892824,0.9696397542556237,0.9803341019892824,0.7858576687652329,0.07070324692946521,0.07133704152070697,0.000633794591241757,0.08447301386723528,0.08445003748139696,-2.2976385838327507e-05
2015-06-01,252,376,1.492063492063492,0.9958329577616234,0.9811648103669773,0.9681729992323072,0.9811648103669773,0.7771249312499865,0.10443673231415042,0.10523376575349469,0.0007970334393442718,0.1047413732469289,0.10467744802537716,-6.392522155174163e-05
2015-07-01,252,377,1.496031746031746,0.9960716436921578,0.9820136259551456,0.9690086525864867,0.9820136259551456,0.7800435303563004,0.05986712019694251,0.06055811045359378,0.0006909902566512721,0.09166358827222462,0.0915511436166653,-0.00011244465555931837
2015-08-03,252,378,1.5,0.996058629458058,0.9826183495036642,0.9685348634080098,0.9826183495036642,0.7717081405656817,0.2141538793918506,0.2128617529764464,-0.0012921264154041878,0.24664318853019054,0.24651453846631446,-0.00012865006387607902
2015-09-01,252,378,1.5,0.9969255294204059,0.98450589241781,0.9697856365015585,0.98450589241781,0.8003298009735944,0.1319938348391962,0.13365241382095208,0.0016585789817558927,0.1708843636511802,0.17079715398613488,-8.720966504532912e-05
2015-10-01,252,380,1.507936507936508,0.9971271507359756,0.9846618984090447,0.9676629862367585,0.9846618984090447,0.8115221091092575,0.1481108667934806,0.1527410282522088,0.004630161458728216,0.12195325311330414,0.12185270966129162,-0.00010054345201251924
2015-11-02,252,381,1.5119047619047619,0.9967679750091615,0.9850548502474124,0.9656386391836093,0.9850548502474124,0.7824648055989342,0.12739207130391592,0.13081196304979745,0.0034198917458815314,0.11520723162527277,0.11520814751880737,9.158935345976449e-07
2015-12-01,252,381,1.5119047619047619,0.9967746878127435,0.983568700822795,0.9672787967217632,0.983568700822795,0.8024023978047193,0.13327047157960267,0.13825340137214634,0.004982929792543667,0.1634695562355912,0.16336478607391278,-0.00010477016167842468
2016-01-04,252,385,1.5277777777777777,0.9967706914007406,0.9844850089035987,0.9669987167081135,0.9844850089035987,0.790570242761166,0.14332959075912155,0.15515110688567954,0.01182151612655799,0.18724083917167814,0.1870213133948219,-0.0002195257768562442
2016-02-01,252,387,1.5357142857142858,0.9968920341337801,0.9850942084529114,0.9669422494981179,0.9850942084529114,0.7902535306054791,0.23113475102495024,0.24881352260982323,0.017678771584872993,0.14660775592594244,0.14639642134552486,-0.00021133458041758257
2016-03-01,252,387,1.5357142857142858,0.9970776461036515,0.9852666959098724,0.9657142002847503,0.9852666959098724,0.8004697491563639,0.11338705842501683,0.11968331582547394,0.0062962574004571115,0.07887681834704785,0.07877890200494937,-9.791634209847799e-05
2016-04-01,252,389,1.5436507936507937,0.9970381098720699,0.984843355504993,0.965637691663563,0.984843355504993,0.8033807682169647,0.1262260552255828,0.1294513865819015,0.0032253313563186947,0.0942059598466008,0.09415949705669463,-4.646278990616537e-05
2016-05-02,252,389,1.5436507936507937,0.997064680921002,0.985014618503353,0.9667735825955093,0.985014618503353,0.8029320788243505,0.09695001918499718,0.0994927071468486,0.0025426879618514198,0.08696647646091439,0.08691486247636157,-5.161398455282018e-05
2016-06-01,252,393,1.5595238095238095,0.9970672210649136,0.9851675162028365,0.9684100042653216,0.9851675162028365,0.8010880069253201,0.12907844943299174,0.13242127218862534,0.0033428227556336065,0.1586430569115378,0.15850641378782432,-0.00013664312371347576
2016-07-01,252,396,1.5714285714285714,0.9973270827539755,0.9850031458672771,0.9703804399188103,0.9850031458672771,0.820661580799234,0.12305754466303692,0.1261407279249815,0.0030831832619445665,0.0675666254597581,0.06756232003825959,-4.3054214985127626e-06
2016-08-01,252,399,1.5833333333333333,0.9972887219744759,0.9848165159926398,0.9720591137565268,0.9848165159926398,0.820310333592877,0.0758854463406156,0.07696955021976039,0.0010841038791447877,0.05881337729854441,0.058809701628629585,-3.675669914826596e-06
2016-09-01,252,399,1.5833333333333333,0.9968379099288867,0.9832155091429391,0.9716418255043333,0.9832155091429391,0.8103123886115926,0.10975342328975636,0.10960269510848156,-0.00015072818127480347,0.14085483036056587,0.14082416492980004,-3.066543076582495e-05
2016-10-03,252,403,1.5992063492063493,0.9967193978456659,0.9834757572051229,0.9729940230746242,0.9834757572051229,0.8001417232079527,0.08524660084735171,0.08661803062557481,0.0013714297782231044,0.06478092796510236,0.06476088552366466,-2.004244143770373e-05
2016-11-01,252,404,1.6031746031746033,0.9967089246251143,0.9827503818259568,0.9744077220598178,0.9827503818259568,0.8078656304694631,0.1392745022510882,0.14095877477531452,0.0016842725242263157,0.09181845381152967,0.09181190928466616,-6.544526863508371e-06
2016-12-01,252,405,1.6071428571428572,0.9965840923444039,0.9832474424110877,0.9752944995093452,0.9832474424110877,0.7947251678195025,0.0806794994982442,0.08150047710339799,0.0008209776051537887,0.07564315272750928,0.07561661740020229,-2.653532730699515e-05
2017-01-03,252,406,1.6111111111111112,0.9963351203847004,0.9814780505701207,0.9755505341274989,0.9814780505701207,0.8006495590903887,0.06351236576350229,0.06388025269009673,0.0003678869265944379,0.06255734317429154,0.0625130746923795,-4.426848191203814e-05
2017-02-01,252,407,1.6150793650793651,0.9957052482916394,0.9806934276804055,0.9749122989578094,0.9806934276804055,0.7758637900816174,0.05137541249215019,0.05164271811815231,0.0002673056260021206,0.052894020099087995,0.05287896222941979,-1.5057869668204382e-05
2017-03-01,252,408,1.619047619047619,0.9951452203379315,0.9808955486618224,0.9747555158621168,0.9808955486618224,0.7440542689773267,0.061370082020045194,0.06188452275674899,0.0005144407367037931,0.06046898166101513,0.06045249874958897,-1.6482911426161928e-05
