date,est,book,n_names,vol,ret,turnover,ret_net
2015-01-02,sample,unconstrained,369,0.14749781371316165,0.0346467063773911,,0.0346467063773911
2015-01-02,sample,long_only,369,0.16933219921059753,-0.012373214682168386,,-0.012373214682168386
2015-01-02,pca1,unconstrained,369,0.1285653788479791,0.04692608783484302,,0.04692608783484302
2015-01-02,pca1,long_only,369,0.13569059446740842,0.011077573834828698,,0.011077573834828698
2015-01-02,pca3,unconstrained,369,0.138526976895989,0.03055946214120103,,0.03055946214120103
2015-01-02,pca3,long_only,369,0.15578105061942418,-0.004714549226790883,,-0.004714549226790883
2015-01-02,pca5,unconstrained,369,0.13116811787613228,0.03517618434279204,,0.03517618434279204
2015-01-02,pca5,long_only,369,0.15322537683881995,-0.004461847993320254,,-0.004461847993320254
2015-01-02,jse1,unconstrained,369,0.13053922477928012,0.049499173261201276,,0.049499173261201276
2015-01-02,jse1,long_only,369,0.13544656982547815,0.011275627110913055,,0.011275627110913055
2015-01-02,jse3,unconstrained,369,0.13851865572862734,0.03223356929253249,,0.03223356929253249
2015-01-02,jse3,long_only,369,0.15564767083466113,-0.004657794006046868,,-0.004657794006046868
2015-01-02,jse5,unconstrained,369,0.13131922796954779,0.03675626400794846,,0.03675626400794846
2015-01-02,jse5,long_only,369,0.15310296091624503,-0.004430935654756166,,-0.004430935654756166
2015-01-02,lw,unconstrained,369,0.10307026120037575,0.029847727080299445,,0.029847727080299445
2015-01-02,lw,long_only,369,0.16813062735110496,-0.013251165467063598,,-0.013251165467063598
2015-01-02,mp,unconstrained,369,0.1190807381333824,0.033464722689634886,,0.033464722689634886
2015-01-02,mp,long_only,369,0.15237411647417468,-0.004258329069276881,,-0.004258329069276881
2015-02-02,sample,unconstrained,370,0.12441032481038342,0.038666083152900155,9.830802234333554,0.028835280918566603
2015-02-02,sample,long_only,370,0.09457672839667709,0.04926316976662059,0.8934074243179838,0.04836976234230261
2015-02-02,pca1,unconstrained,370,0.16242572211793088,-0.042177681820588855,0.42814611165245403,-0.04260582793224131
2015-02-02,pca1,long_only,370,0.10642802884949573,0.00568627708695769,0.1523597605672291,0.005533917326390461
2015-02-02,pca3,unconstrained,370,0.11070658930321782,0.022838176360718464,1.4154841590024025,0.02142269220171606
2015-02-02,pca3,long_only,370,0.08707254837359986,0.032696232399482245,0.35105661214630934,0.032345175787335936
2015-02-02,pca5,unconstrained,370,0.10500160723945656,0.024637916067654524,1.3771081621658645,0.023260807905488658
2015-02-02,pca5,long_only,370,0.08486590587877707,0.03221171679027131,0.33198212281788614,0.03187973466745342
2015-02-02,jse1,unconstrained,370,0.1674448883910619,-0.04564129593918823,0.4442999484000888,-0.04608559588758832
2015-02-02,jse1,long_only,370,0.10678558896734637,0.005274511876121487,0.153080509018383,0.005121431367103104
2015-02-02,jse3,unconstrained,370,0.11281150147411409,0.022085116810596203,1.4563983507516756,0.020628718459844528
2015-02-02,jse3,long_only,370,0.08708344676371586,0.032612932922345725,0.35180226791646385,0.03226113065442926
2015-02-02,jse5,unconstrained,370,0.10685385344040012,0.024048730700811576,1.4142795772759893,0.022634451123535588
2015-02-02,jse5,long_only,370,0.08484156208757156,0.03214137806690012,0.3324626264204591,0.03180891544047967
2015-02-02,lw,unconstrained,370,0.12307237160521989,-0.0043701776324045535,3.5590569692080862,-0.00792923460161264
2015-02-02,lw,long_only,370,0.09448939098027569,0.04585008930927139,0.5181784461020572,0.04533191086316933
2015-02-02,mp,unconstrained,370,0.09776907374734334,0.008129261878108699,1.2150325191722002,0.006914229358936499
2015-02-02,mp,long_only,370,0.08337950836290363,0.0388455463603789,0.33112070308814767,0.038514425657290755
2015-03-02,sample,unconstrained,370,0.1292425971198313,-0.038611394651831346,8.161764263484386,-0.046773158915315735
2015-03-02,sample,long_only,370,0.14304855656357182,-0.015916801704366677,0.7190595554934293,-0.016635861259860107
2015-03-02,pca1,unconstrained,370,0.1577992037050099,0.004201266510301071,0.3559592092493515,0.003845307301051719
2015-03-02,pca1,long_only,370,0.14993465317287175,-0.008707231527714132,0.15062505304129298,-0.008857856580755425
2015-03-02,pca3,unconstrained,370,0.10291783989549087,-0.017649022331688913,1.4214340474349219,-0.019070456379123836
2015-03-02,pca3,long_only,370,0.13571053733010216,-0.015996735126232082,0.33305769654238365,-0.016329792822774466
2015-03-02,pca5,unconstrained,370,0.1089712901871902,-0.018000291069796674,1.1627232516751218,-0.019163014321471796
2015-03-02,pca5,long_only,370,0.13809477698600447,-0.0159786045476399,0.2718760647751181,-0.016250480612415016
2015-03-02,jse1,unconstrained,370,0.15898779183562944,0.005025988335052234,0.3685329988194973,0.0046574553362327365
2015-03-02,jse1,long_only,370,0.15005243373038735,-0.008662043773669005,0.15099460265150239,-0.008813038376320508
2015-03-02,jse3,unconstrained,370,0.10221948930132821,-0.017661091208064746,1.4639854336964169,-0.019125076641761163
2015-03-02,jse3,long_only,370,0.13571151887683564,-0.016004459351351565,0.3337047403398274,-0.016338164091691393
2015-03-02,jse5,unconstrained,370,0.10855646209996668,-0.018063235743716786,1.1964308986006158,-0.019259666642317402
2015-03-02,jse5,long_only,370,0.13810824135941016,-0.015998971249520263,0.27231681125664564,-0.01627128806077691
2015-03-02,lw,unconstrained,370,0.09870652696897769,-0.009051530718101818,3.382239052022692,-0.01243376977012451
2015-03-02,lw,long_only,370,0.13446485483349344,-0.016886797864326137,0.4519323771451792,-0.017338730241471315
2015-03-02,mp,unconstrained,370,0.11293118116764807,-0.028536558670297914,0.9230583399765117,-0.029459617010274428
2015-03-02,mp,long_only,370,0.13367073636122442,-0.023911892567905855,0.25237867641562883,-0.024164271244321484
2015-04-01,sample,unconstrained,374,0.13647020755734318,-0.006313295279116541,11.536998092902902,-0.017850293372019443
2015-04-01,sample,long_only,374,0.08383050747375202,0.011951158911420385,1.0384987087662705,0.010912660202654115
2015-04-01,pca1,unconstrained,374,0.12306897619990388,-0.03609934138596987,0.41945068705292593,-0.03651879207302279
2015-04-01,pca1,long_only,374,0.09021092224027731,-0.0057682122543405625,0.11898411571217088,-0.005887196370052733
2015-04-01,pca3,unconstrained,374,0.08341610561627028,-0.005327173883080303,0.8871269510433757,-0.006214300834123678
2015-04-01,pca3,long_only,374,0.08264325042089736,0.005590643291281528,0.20335849204099526,0.005387284799240532
2015-04-01,pca5,unconstrained,374,0.10046614340699492,-0.0028962508447787673,1.146835763243725,-0.004043086608022492
2015-04-01,pca5,long_only,374,0.08509351013183959,0.0074230285059108565,0.2756592940676903,0.007147369211843166
2015-04-01,jse1,unconstrained,374,0.12616665336295238,-0.03815193294201274,0.4461721153160681,-0.03859810505732881
2015-04-01,jse1,long_only,374,0.09028475568485612,-0.005836582045671489,0.11956799547263003,-0.005956150041144119
2015-04-01,jse3,unconstrained,374,0.08423110387016856,-0.005971205428957958,0.9212698746488406,-0.006892475303606799
2015-04-01,jse3,long_only,374,0.08265387850372892,0.005556219405325879,0.2038848130012759,0.005352334592324603
2015-04-01,jse5,unconstrained,374,0.10151898215892428,-0.0034027394573552926,1.1794529445773696,-0.004582192401932662
2015-04-01,jse5,long_only,374,0.0850969137701071,0.007380757827479559,0.2764235974239456,0.007104334230055613
2015-04-01,lw,unconstrained,374,0.09987930955305664,0.0003423099002732473,3.3060583934874757,-0.0029637484932142286
2015-04-01,lw,long_only,374,0.0861560871026422,0.011590663180818014,0.44436389729895953,0.011146299283519056
2015-04-01,mp,unconstrained,374,0.09256734512956086,0.005416081523954026,1.260147813215412,0.0041559337107386135
2015-04-01,mp,long_only,374,0.08382960527258598,0.014185956606457724,0.3191925352055034,0.013866764071252221
2015-05-01,sample,unconstrained,376,0.13727514384780728,-0.004468949929288571,8.94982599854387,-0.013418775927832442
2015-05-01,sample,long_only,376,0.09472267919838974,0.003003193925274837,0.7094296371736022,0.002293764288101235
2015-05-01,pca1,unconstrained,376,0.12424876561057975,0.012951969672911994,0.43685373195384336,0.01251511594095815
2015-05-01,pca1,long_only,376,0.09843006269886374,0.0038354921116246004,0.14456571895629622,0.0036909263926683043
2015-05-01,pca3,unconstrained,376,0.07070324692946521,-0.018619506116737156,0.8526421851590092,-0.019472148301896166
2015-05-01,pca3,long_only,376,0.08447301386723528,-0.0029275802156934583,0.20426915570808135,-0.0031318493714015396
2015-05-01,pca5,unconstrained,376,0.08418754276667038,-0.010866445219991744,1.2107563059832382,-0.012077201525974982
2015-05-01,pca5,long_only,376,0.08794091251244184,-0.0013060271657501206,0.29017432408692373,-0.0015962014898370444
2015-05-01,jse1,unconstrained,376,0.12724234985426583,0.01330758866317761,0.464400629360187,0.012843188033817423
2015-05-01,jse1,long_only,376,0.09849584099387379,0.003747760455560131,0.14525874324711274,0.003602501712313018
2015-05-01,jse3,unconstrained,376,0.07133704152070697,-0.019473259904474446,0.8852391790567048,-0.020358499083531153
2015-05-01,jse3,long_only,376,0.08445003748139696,-0.0029510745971203516,0.2049349844013921,-0.0031560095815217435
2015-05-01,jse5,unconstrained,376,0.08486704598524303,-0.011318958409737196,1.2520086539149786,-0.012570967063652174
2015-05-01,jse5,long_only,376,0.08790153531687393,-0.0013258430777666177,0.2914565406132767,-0.0016172996183798944
2015-05-01,lw,unconstrained,376,0.09462200475972367,0.0024285693631644354,3.1972785615045245,-0.0007687091983400894
2015-05-01,lw,long_only,376,0.09091286843857324,0.0027080840521623547,0.43091414684099183,0.002277169905321363
2015-05-01,mp,unconstrained,376,0.08949550495740123,-0.011229878381512104,0.9431150468608627,-0.012172993428372966
2015-05-01,mp,long_only,376,0.08923679821677884,-0.0037012412602337877,0.22392033571608766,-0.003925161595949875
2015-06-01,sample,unconstrained,376,0.08820550131103583,-0.002117523662069502,11.435315196880403,-0.013552838858949905
2015-06-01,sample,long_only,376,0.10393527217253212,-0.008339268673947213,0.9238639888332498,-0.009263132662780463
2015-06-01,pca1,unconstrained,376,0.14343665806585654,-0.00976399097212978,0.3264627683372264,-0.010090453740467006
2015-06-01,pca1,long_only,376,0.10801073885282955,-0.015142979347918691,0.09908657330356715,-0.015242065921222259
2015-06-01,pca3,unconstrained,376,0.10443673231415042,0.02530103595210158,0.6842183496094969,0.024616817602492083
2015-06-01,pca3,long_only,376,0.1047413732469289,-0.007752233595914183,0.15896584638741576,-0.007911199442301599
2015-06-01,pca5,unconstrained,376,0.09073154894784463,0.0038954649369598556,0.7375853324710043,0.003157879604488851
2015-06-01,pca5,long_only,376,0.10316531956806589,-0.012677423797926936,0.16515811871023367,-0.01284258191663717
2015-06-01,jse1,unconstrained,376,0.14843524034349972,-0.009791188588486783,0.34945569390870235,-0.010140644282395484
2015-06-01,jse1,long_only,376,0.10799152128588023,-0.01529407830307024,0.09930091890498881,-0.015393379221975229
2015-06-01,jse3,unconstrained,376,0.10523376575349469,0.02688744303423729,0.71254395325225,0.02617489908098504
2015-06-01,jse3,long_only,376,0.10467744802537716,-0.0077701949642445655,0.15978015766580586,-0.007929975121910371
2015-06-01,jse5,unconstrained,376,0.09090110900370534,0.004652217222886572,0.7675243729149659,0.0038846928499716065
2015-06-01,jse5,long_only,376,0.1031157012425266,-0.012699636360386114,0.16550088015237474,-0.012865137240538489
2015-06-01,lw,unconstrained,376,0.07157084327466759,-0.008972396710803196,3.3415457130145843,-0.01231394242381778
2015-06-01,lw,long_only,376,0.1056067992222542,-0.011975650367774296,0.41874814613484646,-0.012394398513909142
2015-06-01,mp,unconstrained,376,0.08462028652094833,0.002944521485714932,0.8486094578562378,0.002095912027858694
2015-06-01,mp,long_only,376,0.09870159614912066,-0.012880479590482746,0.2103265343679747,-0.013090806124850722
2015-07-01,sample,unconstrained,377,0.08646663083105481,0.01707469464200562,10.271665880746049,0.00680302876125957
2015-07-01,sample,long_only,377,0.10662123194673702,0.007855166339120472,0.8940849261335283,0.006961081412986943
2015-07-01,pca1,unconstrained,377,0.11960514935673044,0.10767226084042823,0.30673469507291345,0.10736552614535531
2015-07-01,pca1,long_only,377,0.0873559441237579,0.03806744599040993,0.09052310001300196,0.03797692289039693
2015-07-01,pca3,unconstrained,377,0.05986712019694251,0.04096600847510402,0.6661595741818449,0.04029984890092217
2015-07-01,pca3,long_only,377,0.09166358827222462,0.017960513920549235,0.15265669459211761,0.017807857225957117
2015-07-01,pca5,unconstrained,377,0.06680978580382813,0.03238178469769674,0.9182263229720683,0.03146355837472467
2015-07-01,pca5,long_only,377,0.09278860423325923,0.016481670084676023,0.20881468475645099,0.016272855399919572
2015-07-01,jse1,unconstrained,377,0.12682132242808766,0.11323798972938755,0.3245519712016299,0.11291343775818592
2015-07-01,jse1,long_only,377,0.08732018939646478,0.03821507285668604,0.09076850902638807,0.03812430434765965
2015-07-01,jse3,unconstrained,377,0.06055811045359378,0.04252655907047598,0.6929072500892312,0.041833651820386744
2015-07-01,jse3,long_only,377,0.0915511436166653,0.018045176348742385,0.153638856630136,0.01789153749211225
