date,n,p,rot_t61,rot_t62,rot_t63,rot_t64,rot_t65,rot_normal1,rot_normal2,rot_normal3,rot_normal4,rot_normal5,psi1,psi2,psi3,psi4,psi5,vol_jse5_long_only,vol_pca5_long_only,vol_tc_t6_long_only,vol_tc_normal_long_only,vol_jse5_unconstrained,vol_pca5_unconstrained,vol_tc_t6_unconstrained,vol_tc_normal_unconstrained
2015-01-02,63,370,0.013651796960361964,0.07365733293901057,0.32240805103466796,0.48432172387237116,0.34470832566301474,0.012059272810839938,0.0520622073005601,0.24320934129481206,0.40929768701884994,0.2928958448268096,0.9903452365650945,0.9613559129797637,0.9161183194262602,0.8869484759676232,0.8613369894163176,0.1513159323766308,0.1515705293818909,0.15121496800312917,0.15119965992458761,0.1196126180765168,0.11999626524064219,0.11988250434196834,0.11979960798500813
2015-01-02,252,369,0.001990905899189928,0.09768090426479045,0.1591557793010814,0.20258175503159323,0.14896949963231504,0.00197637744478489,0.05429716585009685,0.09413768816011737,0.12437632758665747,0.08752264400389168,0.9961205818618238,0.9742983677952716,0.9645484087489562,0.9509230889341841,0.9367281949408583,0.15310296091624503,0.15322537683881995,0.15314842886109076,0.15310910421996737,0.13131922796954779,0.13116811787613228,0.13161605852642944,0.13149426936996378
2015-02-02,63,371,0.016124997086177782,0.05056150389298797,0.22986375731485578,0.46154951021660384,0.37739450260629387,0.014506661847550397,0.0366811881650069,0.17776736245628108,0.36519310223603935,0.2927427257890637,0.9895864995870848,0.9662695333117141,0.9137770042025299,0.8786892662360991,0.8545033638841536,0.09116055732662064,0.09111532142306838,0.0911252369553355,0.09114579106722179,0.12974316885416726,0.12504569318850547,0.1331136431788294,0.1329015852323175
2015-02-02,252,370,0.002173834004695531,0.044440306878628516,0.08834498106578105,0.16463478587134728,0.1314941170938377,0.0019541594494607386,0.025541864347689153,0.052635312680079024,0.10131927365952961,0.08015515227704992,0.9964187080462644,0.978608392563656,0.965897089443561,0.9503876697897352,0.9370058605843062,0.08484156208757156,0.08486590587877707,0.08483737193965041,0.08483645484302534,0.10685385344040012,0.10500160723945656,0.10772344965675971,0.10752120259620382
2015-03-02,63,371,0.016744706153059223,0.0601134999650029,0.12680391629822182,0.43887140924896256,0.4074093102725297,0.014472376262604636,0.04261604879262877,0.07781906058293474,0.3959512243044273,0.3851704759823997,0.989448142563905,0.9647053213312156,0.9217908432600194,0.8490578768105759,0.8362449481906532,0.13941108852047948,0.13943222878474887,0.139392972437632,0.1394027042425487,0.12610951719190971,0.12626873294184132,0.1261541424374824,0.1262008961466751
2015-03-02,252,370,0.002264251751438367,0.06433356393955228,0.08198653811329802,0.1217027338499653,0.10428112462240786,0.002478601015952214,0.041314145644907416,0.05264886993896302,0.06997049513814675,0.0593616181079202,0.9962135813525164,0.9796570530115972,0.9704745888907025,0.9512116069831574,0.9351504625989215,0.13810824135941016,0.13809477698600447,0.1381081489379764,0.1381086707524615,0.10855646209996668,0.1089712901871902,0.10834699057873948,0.10837445815803969
2015-04-01,63,376,0.019028248301404677,0.37044469643800737,0.4966784783058382,0.32955804099506664,0.057893994433551976,0.01610116265218252,0.3302652790882105,0.433740345049754,0.27117111565286356,0.0444164647565351,0.9885634535570035,0.9557529492097437,0.9452507125874298,0.9269265255089336,0.8474392115912452,0.08301417051970944,0.08296534318655917,0.08309924896809187,0.08308032871544631,0.0890308998240121,0.08651289160894739,0.0913271213754331,0.09084672777181246
2015-04-01,252,374,0.002202801828650294,0.10763563760901494,0.11625054170357454,0.18345885903950246,0.17609212858414247,0.0021750385637109996,0.04633288212395996,0.05383457374094537,0.12521918824366945,0.12007131401731043,0.9963526886621323,0.9798173417264154,0.9723433656207657,0.9471039249062505,0.9354118918299094,0.0850969137701071,0.08509351013183959,0.08510533966351107,0.08510293961650996,0.10151898215892428,0.10046614340699492,0.10183236795508115,0.10182356560802201
2015-05-01,63,378,0.11547022252936616,0.24765755497364816,0.25056803976992886,0.16201270208875942,0.06873287353786986,0.07913167548570343,0.15520715877812857,0.17860534007618134,0.12272869802090719,0.04558387771529956,0.9823899824833596,0.968815471293644,0.9510615867127906,0.9176583470296109,0.8415970496857839,0.08355977528666456,0.08357392707528573,0.09578127390419097,0.09579852883314274,0.06143632082896189,0.062466548277142764,0.09302639395576942,0.09317026614319125
2015-05-01,252,376,0.002487220592381896,0.03728658847857458,0.047043123076098196,0.1978511790311022,0.1923932601065708,0.0025518113777314886,0.02672541514742037,0.035466326643830516,0.14414746050742966,0.14066874136948124,0.9960765371735784,0.9815438754330416,0.9715171474262689,0.9460766142484509,0.9357046214811071,0.08790153531687393,0.08794091251244184,0.0879083891376683,0.08790110964137593,0.08486704598524303,0.08418754276667038,0.08521059673473816,0.08518188366569718
