date,est,n_names,n_basket,te,turnover
2015-01-02,sample,370,74,0.038821547337889104,
2015-01-02,pca1,370,74,0.023685615185967363,
2015-01-02,pca3,370,74,0.023438343150163677,
2015-01-02,pca5,370,74,0.024323416227185174,
2015-01-02,jse1,370,74,0.023700029144163005,
2015-01-02,jse3,370,74,0.023439230299513406,
2015-01-02,jse5,370,74,0.024324657885161336,
2015-01-02,lw,370,74,0.02357067161638481,
2015-01-02,mp,370,74,0.02461845155000065,
2015-02-02,sample,371,75,0.024532568548641734,1.6620864209549975
2015-02-02,pca1,371,75,0.016418024310065275,1.2446427155648012
2015-02-02,pca3,371,75,0.01500744974631471,1.2605550359687612
2015-02-02,pca5,371,75,0.015903811912471172,1.253005745807865
2015-02-02,jse1,371,75,0.016402859354331972,1.2446295252786852
2015-02-02,jse3,371,75,0.015054190224272285,1.26026524423274
2015-02-02,jse5,371,75,0.015923866523758427,1.2528930231842088
2015-02-02,lw,371,75,0.01170690204311344,1.3708782105840516
2015-02-02,mp,371,75,0.01233255412812211,1.1787517213974914
2015-03-02,sample,371,75,0.021094372049442617,1.1981352306905855
2015-03-02,pca1,371,75,0.020004023247082784,0.1452799529742864
2015-03-02,pca3,371,75,0.018813480081159253,0.22393767726625652
2015-03-02,pca5,371,75,0.018305003219821866,0.27957407084515856
2015-03-02,jse1,371,75,0.019998747482653376,0.14525404090609367
2015-03-02,jse3,371,75,0.018819999323882005,0.22372392197850174
2015-03-02,jse5,371,75,0.01831169947077987,0.27972177901422657
2015-03-02,lw,371,75,0.01798801801493067,0.20637329117038208
2015-03-02,mp,371,75,0.015200433205922634,0.06612989262978285
2015-04-01,sample,376,76,0.035319935640405614,1.9074381479321105
2015-04-01,pca1,376,76,0.014649518861414787,1.5663623857546805
2015-04-01,pca3,376,76,0.015511657420578593,1.598020768361152
2015-04-01,pca5,376,76,0.015469440281895352,1.6534205809405869
2015-04-01,jse1,376,76,0.014648777752029558,1.5665479603804484
2015-04-01,jse3,376,76,0.01549735793943595,1.5976114763395157
2015-04-01,jse5,376,76,0.015466411542450929,1.6538792911366258
2015-04-01,lw,376,76,0.018426541898776485,1.72202202719108
2015-04-01,mp,376,76,0.017767185016889932,1.6683781399098732
2015-05-01,sample,378,76,0.021369077297033412,1.6345007521738542
2015-05-01,pca1,378,76,0.020018247230312636,1.1402497181052724
2015-05-01,pca3,378,76,0.02104432641533615,1.1552718735922676
2015-05-01,pca5,378,76,0.020771782389327316,1.1954814682463655
2015-05-01,jse1,378,76,0.020048356081937505,1.1377786708418778
2015-05-01,jse3,378,76,0.02104988291804911,1.1541088990244424
2015-05-01,jse5,378,76,0.020769431334137556,1.1936028669864693
2015-05-01,lw,378,76,0.0193520699998908,1.2728376072991403
2015-05-01,mp,378,76,0.021633429070912428,1.1248510145635844
2015-06-01,sample,377,76,0.02403056035656568,1.7785217178437596
2015-06-01,pca1,377,76,0.015467148300884906,1.5322962502443551
2015-06-01,pca3,377,76,0.014389426471180541,1.581260727065113
2015-06-01,pca5,377,76,0.013992228380832212,1.6063397084755697
2015-06-01,jse1,377,76,0.015316586002513266,1.5282283139689579
2015-06-01,jse3,377,76,0.014370105553705995,1.5780833365797382
2015-06-01,jse5,377,76,0.013920173865446422,1.6049789798956295
2015-06-01,lw,377,76,0.018412211565097265,1.6503105461691752
2015-06-01,mp,377,76,0.012150171432017824,1.592398900797186
2015-07-01,sample,379,76,0.0335746282208544,1.5061773412666883
2015-07-01,pca1,379,76,0.017631394604426885,1.0630560792809354
2015-07-01,pca3,379,76,0.02255154601470486,1.0985196761209175
2015-07-01,pca5,379,76,0.0244937874742099,1.1220588029271228
2015-07-01,jse1,379,76,0.017635860121686917,1.0512127731410144
2015-07-01,jse3,379,76,0.022551256715168833,1.0923442529963368
2015-07-01,jse5,379,76,0.024451807413003672,1.117316737685784
2015-07-01,lw,379,76,0.024540719621958744,1.1943386364081898
2015-07-01,mp,379,76,0.024649879892878576,1.0708438304337125
2015-08-03,sample,380,76,0.030508352071215047,1.5356369812682849
2015-08-03,pca1,380,76,0.02743555676130635,0.7048540952462489
2015-08-03,pca3,380,76,0.02772744085629693,0.7122203527234917
2015-08-03,pca5,380,76,0.02751706667947691,0.7068998247809696
2015-08-03,jse1,380,76,0.02758926067071176,0.702964899220929
2015-08-03,jse3,380,76,0.027837215853126224,0.7081586671302555
2015-08-03,jse5,380,76,0.027658569594661026,0.7030363565941462
2015-08-03,lw,380,76,0.02281724387879135,0.8180047599864999
2015-08-03,mp,380,76,0.025570048834713362,0.6833397528129949
2015-09-01,sample,379,76,0.02852037348643016,1.7020839391886313
2015-09-01,pca1,379,76,0.022623807950355238,1.1247939408427212
2015-09-01,pca3,379,76,0.023418037731663965,1.184299019763071
2015-09-01,pca5,379,76,0.02406116501459865,1.2178424281335527
2015-09-01,jse1,379,76,0.022650457368205427,1.124897673932403
2015-09-01,jse3,379,76,0.023444130395659964,1.1829905150691102
2015-09-01,jse5,379,76,0.024066567578004433,1.2170767100224762
2015-09-01,lw,379,76,0.01827631908727494,1.3712365089356493
2015-09-01,mp,379,76,0.019647339589640767,1.1789342656795756
2015-10-01,sample,381,77,0.03235663720894643,1.3590263891865115
2015-10-01,pca1,381,77,0.025002350028356875,0.7401114038113131
2015-10-01,pca3,381,77,0.02178919247504911,0.7896818310174872
2015-10-01,pca5,381,77,0.021541604364586242,0.8781792362597509
2015-10-01,jse1,381,77,0.02500602091524372,0.7387377569682487
2015-10-01,jse3,381,77,0.0217482935446911,0.7884588837977566
2015-10-01,jse5,381,77,0.02156286714300599,0.8770527985172505
2015-10-01,lw,381,77,0.022617480501595143,0.9672873382195488
2015-10-01,mp,381,77,0.019306028066156337,0.7033203912496836
2015-11-02,sample,385,77,0.04155064846691651,1.6093860602606038
2015-11-02,pca1,385,77,0.01945645765233101,1.0099869678045386
2015-11-02,pca3,385,77,0.018944775832283,1.02642238292357
2015-11-02,pca5,385,77,0.018712848788387273,1.0610422936796182
2015-11-02,jse1,385,77,0.019504962283194562,1.0092044073496278
2015-11-02,jse3,385,77,0.018950507173071226,1.0254911591008895
2015-11-02,jse5,385,77,0.01870415361750279,1.0601393022578618
2015-11-02,lw,385,77,0.02240952015307658,1.2728282879706896
2015-11-02,mp,385,77,0.028704807771104547,1.0531152611061343
2015-12-01,sample,385,77,0.04370871150321146,1.937337160559986
2015-12-01,pca1,385,77,0.022773763377232057,1.1666712811032485
2015-12-01,pca3,385,77,0.01999865860134219,1.1619976091332704
2015-12-01,pca5,385,77,0.017310236632674038,1.1704549441659182
2015-12-01,jse1,385,77,0.022888064882303386,1.1659765776241273
2015-12-01,jse3,385,77,0.019993015329647326,1.1617327106474677
2015-12-01,jse5,385,77,0.01735131277320424,1.170513449965646
2015-12-01,lw,385,77,0.02504994810991248,1.3244219472044483
2015-12-01,mp,385,77,0.022738843051395893,1.1775038155182593
2016-01-04,sample,388,78,0.04490485614009332,1.976034223257797
2016-01-04,pca1,388,78,0.03465576567896517,1.623348886514276
2016-01-04,pca3,388,78,0.029954962547025996,1.635733028889792
2016-01-04,pca5,388,78,0.028883842878653886,1.6588767516968188
