book,est,mean_vol,t_vs_sample,p_vs_sample,sharpe_net,mean_turnover,months
long_only,sample,0.1416459999431822,,,0.7209913778513983,0.834519635719306,137
long_only,pca1,0.11685926453934403,-9.549980781453625,7.457684335689785e-17,0.7660798485817194,0.11313847779682258,137
long_only,pca3,0.11954732162318313,-13.899205153297457,6.956304904875128e-28,0.8528333782657338,0.2431300758888396,137
long_only,pca5,0.12105186489321274,-15.223596340251651,3.591189895940464e-31,0.7535678833651532,0.2677541150031745,137
long_only,jse1,0.11686274333500643,-9.504360428807923,9.705396076549843e-17,0.7659115160814846,0.11352208209330399,137
long_only,jse3,0.11949147688053947,-13.895585197782797,7.1031671589789775e-28,0.853072225782852,0.2436765197562616,137
long_only,jse5,0.12100555142680217,-15.221906213309127,3.625669539312699e-31,0.7534355940050922,0.2682409533831184,137
long_only,lw,0.13704741402487175,-8.732899909521544,8.0227951246936e-15,0.7276362661688125,0.4470030236355605,137
long_only,mp,0.13134786692457823,-9.989458152537933,5.833288687567356e-18,0.7600082933055402,0.2787321574460874,137
unconstrained,sample,0.1440351260042024,,,0.14503790044099454,8.66442941854005,137
unconstrained,pca1,0.14954621886005115,1.5458812367186185,0.12445707407356503,0.3909828903891113,0.2889840100697593,137
unconstrained,pca3,0.13089553847502355,-3.7242317406304672,0.000286102610975383,0.7972314243710132,0.988122142125043,137
unconstrained,pca5,0.12080764643159173,-7.294364326926695,2.2436057530599234e-11,0.7035781554413588,1.1557029392421594,137
unconstrained,jse1,0.1526159440595029,2.3260844570488084,0.021492558224374333,0.386986228668704,0.29973901253596236,137
unconstrained,jse3,0.13272677889062934,-3.154207513285983,0.0019811533900744704,0.7930359203189176,1.0133585742644726,137
unconstrained,jse5,0.12220327764104819,-6.7690946772948655,3.5455258454779475e-10,0.6994917451807804,1.1818676283530782,137
unconstrained,lw,0.11641507332670618,-10.889404436518994,3.029958648447425e-20,0.34775625930253296,3.2311313682654563,137
unconstrained,mp,0.11268019787808,-11.823755275802197,1.256068753350756e-22,0.7071095404100161,1.0952713945432413,137
