book,model,window,n_obs,alpha_ann,t_alpha,R2,avg_gross,alpha_stress,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_Mom,t_Mom,beta_TSMOM,t_TSMOM,beta_QQQRES,t_QQQRES
vol_managed_qqq,M0,blind,219,0.0566867381186483,0.5050792819772159,0.86325436102758,1.427227598532789,0.03606627619165613,1.8698151321302374,24.441276867523218,,,,,,,,,,,,,,
vol_managed_qqq,M1,blind,219,0.025688143175270923,0.32099891555140875,0.9050624416194982,1.427227598532789,0.005067681248278749,1.7963957253758653,17.401362306184176,-0.33870989374355237,-3.739043919985549,-0.0259206380345719,-0.3478227230467055,-0.18107282277300102,-2.2446572872985624,-0.2760612750452758,-2.710368997597161,0.021545086198307743,0.6269110550244136,,,,
vol_managed_qqq,M2,blind,219,0.014216208118023752,0.2518856518632932,0.9681502506226067,1.427227598532789,-0.006404253808968422,1.5435592056371037,17.06909376450941,-0.20779487552531975,-4.6708903752404085,-0.4535316400997214,-9.104289296442964,0.14105576874594436,3.1482625532637742,-0.3425419145100146,-5.965332668891084,0.025475151218026966,1.1103333794264973,0.2318064848419704,2.921215717410728,1.5868782701835353,15.488894071009993
vol_managed_qqq,M0,full_IN-SAMPLE,2779,0.09923484310932927,2.1095022983662153,0.6672618131892345,1.4551450413387335,0.08733847526057485,1.1501476750047268,12.232516263382575,,,,,,,,,,,,,,
vol_managed_qqq,M1,full_IN-SAMPLE,2779,0.09151940557887545,2.2163738426418456,0.7537098387903367,1.4551450413387335,0.07962303773012103,1.1108327623196075,12.144122071614653,-0.060715710994446455,-1.5555083715704416,-0.33081786436127525,-6.003590161824812,-0.005264977540062159,-0.11351828796731017,-0.3289166786002077,-5.68578227526948,0.13599260087164855,3.9493182679193835,,,,
vol_managed_qqq,M2,full_IN-SAMPLE,2779,0.0947453432469538,3.2125159252673368,0.8607036984261702,1.4551450413387335,0.08284897539819938,0.989233215980723,12.987771471385352,-0.09770604914134319,-3.194198390149077,-0.3260008522007117,-8.285769741862483,0.009976624558647241,0.27851898557601074,-0.39623985240069526,-8.337692808523453,0.051777731245009166,1.8241189953405446,0.36773969834277764,6.539205537976439,1.523008648331287,20.2895374914166
vol_core_svxy,M0,blind,219,0.019131325981390605,0.2545359707252916,0.9356729457411621,1.7586303703361257,-0.01748454041370947,1.9047520652119532,29.297977171400813,,,,,,,,,,,,,,
vol_core_svxy,M1,blind,219,0.011190933276337136,0.18607834293192177,0.9497558508414004,1.7586303703361257,-0.02542493311876294,1.9193567249215906,21.919896419193083,-0.21417487464010768,-3.344113625198319,0.011015129456736278,0.20856245932520967,-0.009106878162610643,-0.16029652758132137,-0.20971639376626697,-2.770903543218783,-0.01708716392965665,-0.6821433340450844,,,,
vol_core_svxy,M2,blind,219,0.005445109354740524,0.10050578635637064,0.9664310461892937,1.7586303703361257,-0.03117075704035955,1.7925299960167849,17.322936611677846,-0.14819869550781636,-3.107324569381945,-0.20413483259405957,-4.198973943514461,0.15289953414874374,3.181330870586183,-0.24313256806877742,-3.823662196549421,-0.015086014739070362,-0.658762103846392,0.11605337378463486,1.5799420249078302,0.7984781354829862,8.857685398088174
vol_core_svxy,M0,full_IN-SAMPLE,2779,0.10961338785851414,2.4207263103532153,0.7199530289493443,1.6459669184432626,0.09272940718869459,1.2700824012558254,11.689284350418514,,,,,,,,,,,,,,
vol_core_svxy,M1,full_IN-SAMPLE,2779,0.10662651435290806,2.414747768684899,0.7508862763158183,1.6459669184432626,0.0897425336830885,1.2385931403966433,11.093108503949765,0.010955903823143104,0.2559817929497502,-0.23231765983786995,-3.5886821499516817,0.008374022272150389,0.17060020419259436,-0.20695573434121495,-3.5202930768289926,0.07995148363936165,2.009973106658095,,,,
vol_core_svxy,M2,full_IN-SAMPLE,2779,0.1096189924355797,2.893709281219285,0.8022552343062277,1.6459669184432626,0.09273501176576014,1.1352600817009137,10.96445838373225,-0.02122601358490984,-0.5406239915068886,-0.22850322825785185,-4.256769370075438,0.02107407557921411,0.4942396384958185,-0.26150596976787727,-4.439829860499398,0.007404871381773849,0.1957056322397405,0.3159787733012322,4.790585036006345,1.0771711422874117,9.794089534105035
dual_momentum_gem,M0,blind,219,0.2275200274678077,1.5273230193252691,0.7671407974913274,1.5,0.20338715075547892,1.7463373594190286,21.670355561288527,,,,,,,,,,,,,,
