book,date,model,alpha_ann,beta_mkt,beta_tsmom,beta_qqqres
vol_managed_qqq,2016-05-04,M2,-0.02216909219877154,1.3936591127557025,0.07822759358469121,1.3391229043458455
vol_managed_qqq,2016-08-03,M2,-0.08305549502689373,1.4513595413784819,-0.2251276243456058,1.4551130181165528
vol_managed_qqq,2016-11-01,M2,-0.022689694129114337,1.6132394547757518,-0.1197658483117807,1.471878988375979
vol_managed_qqq,2017-02-02,M2,-0.020095194627011714,1.8009746591853077,-0.04571551092186074,1.7907246250570084
vol_managed_qqq,2017-05-04,M2,0.011166783511309196,2.0331803226784384,0.028388586758857883,1.839721979279598
vol_managed_qqq,2017-08-03,M2,0.05576473761382958,2.0723400982148577,0.02378859148632193,1.861634793711369
vol_managed_qqq,2017-11-01,M2,0.06453060578218206,2.041009657993396,0.04477805523141002,1.8851065524205803
vol_managed_qqq,2018-02-02,M2,0.06800294069942202,2.0815598259382546,0.03476125969286031,1.8976409385343689
vol_managed_qqq,2018-05-04,M2,0.04573097054128867,0.8588951334009439,0.8485552279776372,1.4864547966396227
vol_managed_qqq,2018-08-03,M2,0.056188274586484066,0.910544620889484,0.8195216715244443,1.4175256497487323
vol_managed_qqq,2018-11-01,M2,0.018545353641117965,0.7652021230847632,0.8985801093769223,1.1562566298009995
vol_managed_qqq,2019-02-05,M2,0.08925768406017544,0.704534558432573,0.8918894453389579,1.0807761250673342
vol_managed_qqq,2019-05-07,M2,0.18059652555723218,0.9104450388124259,0.6293322000687378,1.2575687440665122
vol_managed_qqq,2019-08-06,M2,0.06630215556079623,1.0552479852389667,0.52859033038237,1.263129950951344
vol_managed_qqq,2019-11-04,M2,0.06286949686541829,1.1824638752173737,0.29942010558680887,1.1356446173719352
vol_managed_qqq,2020-02-05,M2,0.024280200119544015,1.6874699009594258,0.23312141158041647,1.52252025631482
vol_managed_qqq,2020-05-06,M2,0.049024099252263295,0.590516100388245,0.6464341955816291,1.3829673681911216
vol_managed_qqq,2020-08-05,M2,0.12033586713994429,0.6574800108947388,0.4525206938088491,1.3485899037246158
vol_managed_qqq,2020-11-03,M2,0.13350913797279268,0.5827558583835657,0.6195686856230551,1.1977620766044668
vol_managed_qqq,2021-02-04,M2,0.05660710490209737,0.6191646612870173,0.5091194822799872,1.1386736412324587
vol_managed_qqq,2021-05-06,M2,-0.004280495363723679,1.2109425800024531,0.06802079484313174,0.9445686036020581
vol_managed_qqq,2021-08-05,M2,0.0799793478756342,1.1630111602287754,0.2202473271521249,0.9736903648654015
vol_managed_qqq,2021-11-03,M2,0.008830958263461166,1.3536271049965314,0.309671813165943,1.1560808218429324
vol_managed_qqq,2022-02-03,M2,0.07970432199178475,1.2684233565992693,0.36686816356280794,1.0510783661385856
vol_managed_qqq,2022-05-05,M2,0.07397219788766413,0.8130031823665218,0.7864596343245444,0.9537120384704683
vol_managed_qqq,2022-08-05,M2,0.06898755532678921,0.9362208799839672,0.37709594360920884,0.8888429318226846
vol_managed_qqq,2022-11-03,M2,0.02832208420719874,0.9532855371426746,0.14212344529540133,0.859398660922029
vol_managed_qqq,2023-02-06,M2,0.042462170409163266,0.8650683733304402,-0.057323262934251745,0.9308866681191083
vol_managed_qqq,2023-05-08,M2,0.10125759467421963,0.8499854594932154,-0.20304785552356563,1.081744588898942
vol_managed_qqq,2023-08-08,M2,0.14240249830377227,1.2203947495637215,0.2690195918669546,1.3987505759136214
vol_managed_qqq,2023-11-06,M2,0.07495465565819545,1.3396678537119657,0.2578198619357103,1.6072194055886122
vol_managed_qqq,2024-02-07,M2,0.06631624427801656,1.55905604101243,0.14062524191295295,1.6227335574092403
vol_managed_qqq,2024-05-08,M2,0.04354767301967308,1.6962333317534104,0.0237647807153766,1.602978396476832
vol_managed_qqq,2024-08-08,M2,0.10350747114686518,1.6720569984459213,-0.08165940084995191,1.6469112215481208
vol_managed_qqq,2024-11-06,M2,0.08748349635978316,1.574914857845627,-0.04015215792404531,1.583066786226319
vol_managed_qqq,2025-02-10,M2,0.016795590719289943,1.4490099461865302,0.12288362157313036,1.4826534349240625
vol_managed_qqq,2025-05-12,M2,0.014207135685202276,0.712843298401375,0.71154460644059,1.564205493677129
vol_managed_qqq,2025-08-12,M2,0.05292178012423077,0.7524790179933996,0.6995781412801056,1.442669601444902
vol_managed_qqq,2025-11-10,M2,0.06579313848545161,0.7376494891850065,0.7564935495785271,1.415155839525102
vol_managed_qqq,2026-02-11,M2,0.016919626142079838,0.7679545103052454,0.7009298363306274,1.3730568765143005
vol_managed_qqq,2026-05-13,M2,0.02726084109686161,1.5782590130199845,0.18071003761166188,1.5643516558023691
