,alpha_ann,beta_SPY,beta_QQQ
vol_managed_qqq,0.055322617545701676,-0.389754425212591,1.3829927988294157
vol_core_svxy,0.07533662496582018,0.14832326605786045,0.9670863647122553
trend_vol_qqq,0.07585272574739595,-0.49023796541911435,1.0863162828633095
defensive_ensemble,0.0720978937106105,-0.2386654574633717,0.594058436810705
dual_momentum_gold,0.0806293798405933,-0.2371920386146336,0.7905984789194577
momentum_concentrated,-0.0023613091485583217,-0.02497941111927626,0.43153729634983373
dual_momentum_gem,0.04813036236450091,-0.18774819643945964,1.0169181301122936
